,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
21,3683,SUNBEAM CORP/FL/,199824,5/10/2006,10-Q,edgar/data/3982/0000950129-06-005244.txt,65.2206,13.4728,0.657587540281808,7.10875244937949,531.492488569562,215.440496407577,162743,30620,0,0,0.002122795558459,0.000424559111692,0,0,0
22,3684,SUNBEAM CORP/FL/,199825,7/24/2006,10-K/A,edgar/data/3982/0000950129-06-007243.txt,24.98388,4.61414,0.688212904504663,6.94268704460636,1486.20046205794,597.257259641017,167257,11254,0,0,0.002132575084414,0.000355429180736,0,0,0
23,3685,SUNBEAM CORP/FL/,199826,7/24/2006,10-Q/A,edgar/data/3982/0000950129-06-007244.txt,15.74892,2.86344,0.692307655111568,6.93361830525522,2143.22353532814,860.062861453357,170472,7954,0,0,0.001885843600704,0.000251445813427,0,0,0
24,3686,SUNBEAM CORP/FL/,199827,8/14/2006,10-Q,edgar/data/3982/0000950129-06-007871.txt,19.34826,3.75414,0.674999970782258,6.95023893621442,1811.77020569292,727.488177851652,174401,9626,0,0,0.001973820901725,0.000311655931851,0,0,0
25,3687,SUNBEAM CORP/FL/,199828,11/8/2006,10-Q,edgar/data/3982/0000950129-06-009522.txt,0.5643,0.18525,0.505702747378097,6.56491228070176,61227.7192982456,24493.7136842105,174499,285,0,0,0,0,0,0,0
26,3688,SUNBEAM CORP/FL/,199829,12/29/2006,10-Q/A,edgar/data/3982/0000950134-06-023819.txt,42.7817,20.07449,0.361256538755268,6.50281078124525,567.069798535355,229.42904372664,186617,32909,0,0,0.001276246619466,0.00060773648546,0,0,0
27,3689,SUNBEAM CORP/FL/,199830,3/15/2007,10-K,edgar/data/3982/0000950129-07-001381.txt,60.53638,18.19228,0.537848598746014,6.89032710578333,637.116623095071,257.602780080342,199838,31366,0,0,0.001912899317733,0.00057386979532,0,0,0
28,3690,SUNBEAM CORP/FL/,199831,5/10/2007,10-Q,edgar/data/3982/0000950129-07-002432.txt,129.04104,23.02392,0.697183094006778,7.02431645002241,416.937471985657,169.584715374272,223245,53544,0,0,0.002409233527566,0.000429553264605,0,0,0
29,3691,SUNBEAM CORP/FL/,199832,8/9/2007,10-Q,edgar/data/3982/0000950129-07-003918.txt,0.56232,0.1846,0.505702745002484,6.58802816901409,78641.9014084507,31459.3957746479,223343,284,0,0,0,0,0,0,0
30,3692,SUNBEAM CORP/FL/,199833,11/6/2007,10-Q,edgar/data/3982/0000950129-07-005361.txt,37.1217,7.24757,0.673306757733297,7.16620467273859,1308.81936980257,526.394229790123,231360,17677,0,0,0.002093115347627,0.000395994795497,0,0,0
31,3693,SUNBEAM CORP/FL/,199834,3/7/2008,10-K,edgar/data/3982/0000950129-08-001569.txt,62.21192,18.92012,0.53359683136777,6.84888362230261,763.215666708245,308.025820132219,244748,32068,0,0,0.001933391542971,0.000561307222153,0,0,0
32,3694,SUNBEAM CORP/FL/,199835,4/29/2008,10-K/A,edgar/data/3982/0000950129-08-002507.txt,0.56232,0.1846,0.505702745002484,6.59859154929578,86213.3802816902,34487.9915492958,244846,284,0,0,0,0,0,0,0
33,3695,SUNBEAM CORP/FL/,199836,11/12/2003,10-Q,edgar/data/4447/0000950123-03-012528.txt,11.99934,4.4442,0.459459431517822,7.06669366815175,3348.08964493047,1342.06253543945,247993,7407,0,0,0.001485081679492,0.000540029701634,0,0,0
34,3696,SUNBEAM CORP/FL/,199837,3/12/2004,10-K,edgar/data/4447/0000950123-04-003250.txt,64.32032,19.0422,0.543147201606343,4.68182247849513,610.435768976274,246.047036581908,258312,42316,0,0,0.001512430286416,0.00044900274128,0,0,0
35,3697,SUNBEAM CORP/FL/,199838,3/15/2004,10-K/A,edgar/data/4447/0000950123-04-003322.txt,4.6336,1.8688,0.425196785002955,6.2828125,10127.1875,4053.388125,259256,2560,0,0,0.0015625,0.000390625,0,0,0
36,3698,SUNBEAM CORP/FL/,199839,5/7/2004,10-Q,edgar/data/4447/0000950123-04-005950.txt,0.56232,0.1846,0.505702745002484,6.58802816901409,91321.8309859155,36531.3676056338,259354,284,0,0,0,0,0,0,0
37,3699,SUNBEAM CORP/FL/,199840,8/6/2004,10-Q,edgar/data/4447/0000950123-04-009350.txt,0.5643,0.18525,0.505702747378097,6.56842105263158,91035.7894736842,36416.9431578947,259452,285,0,0,0,0,0,0,0
38,3700,SUNBEAM CORP/FL/,199841,11/5/2004,10-Q,edgar/data/4447/0000950123-04-013054.txt,0.56232,0.1846,0.505702745002484,6.59154929577465,91390.8450704225,36558.9746478873,259550,284,0,0,0,0,0,0,0
39,3701,SUNBEAM CORP/FL/,199842,3/14/2005,10-K,edgar/data/4447/0000950123-05-003078.txt,0.56232,0.1846,0.505702745002484,6.59154929577465,91425.3521126761,36572.7774647887,259648,284,0,0,0,0,0,0,0
40,3702,SUNBEAM CORP/FL/,199843,5/6/2005,10-Q,edgar/data/4447/0000950123-05-005767.txt,8.75136,3.0272,0.485981267151395,6.92260174418605,4757.26744186046,1905.67601744186,261840,5504,0,0,0.001453488372093,0.000545058139535,0,0,0
41,3703,SUNBEAM CORP/FL/,199844,8/5/2005,10-Q,edgar/data/4447/0000950123-05-009475.txt,9.89196,3.61437,0.46478869798171,6.88992272512222,4168.64847815802,1670.21536035326,264334,6341,0,0,0.001419334489828,0.000473111496609,0,0,0
42,3704,SUNBEAM CORP/FL/,199845,11/7/2005,10-Q,edgar/data/4447/0000950123-05-013153.txt,9.46608,3.15536,0.499999960384872,6.94891232696111,4396.9512195122,1761.56005273566,266807,6068,0,0,0.001483190507581,0.00049439683586,0,0,0
43,3705,SUNBEAM CORP/FL/,199846,11/8/1999,10-Q,edgar/data/4457/0000004457-99-000043.txt,10.91363,3.10947,0.556521699444367,7.00442840741348,4416.53272101033,1769.4148597671,269276,6097,0,0,0.001640150893882,0.000492045268165,0,0,0
44,3706,SUNBEAM CORP/FL/,199847,2/10/2000,10-Q,edgar/data/4457/0000004457-00-000018.txt,10.9687,2.8865,0.583333291231214,7.09371210808938,4706.33985795947,1885.37342802702,271697,5773,0,0,0.00173220162827,0.000346440325654,0,0,0
45,3707,SUNBEAM CORP/FL/,199848,6/29/2000,10-K,edgar/data/4457/0000004457-00-000067.txt,93.1031,21.64018,0.62280701211603,6.95771569367722,579.912967452212,234.748273258356,291847,50326,0,0,0.001847951357151,0.000417279338712,0,0,0
46,3708,SUNBEAM CORP/FL/,199849,8/11/2000,10-Q,edgar/data/4457/0000004457-00-000080.txt,0.5643,0.18525,0.505702747378097,6.56842105263158,102436.842105263,40977.3642105263,291945,285,0,0,0,0,0,0,0
47,3709,SUNBEAM CORP/FL/,199850,11/13/2000,10-Q,edgar/data/4457/0000004457-00-000105.txt,0.56145,0.18525,0.50381611916952,6.5719298245614,102471.228070175,40991.12,292043,285,0,0,0,0,0,0,0
